,feature,model,dropdown
0,BEST,indices,Indices
1,EA,indices,Indices
2,EPNP,indices,Indices
3,NAO,indices,Indices
4,NINA,indices,Indices
5,ONI,indices,Indices
6,PNA,indices,Indices
7,WP,indices,Indices
8,BEST,tele_diff,First and Seasonal Difference
9,EA_first_difference,tele_diff,First and Seasonal Difference
10,EA_seasonal_difference,tele_diff,First and Seasonal Difference
11,EA_seasonal_first_difference,tele_diff,First and Seasonal Difference
12,EPNP_first_difference,tele_diff,First and Seasonal Difference
13,EPNP_seasonal_difference,tele_diff,First and Seasonal Difference
14,EPNP_seasonal_first_difference,tele_diff,First and Seasonal Difference
15,NAO_first_difference,tele_diff,First and Seasonal Difference
16,NAO_seasonal_difference,tele_diff,First and Seasonal Difference
17,NAO_seasonal_first_difference,tele_diff,First and Seasonal Difference
18,NINA,tele_diff,First and Seasonal Difference
19,ONI,tele_diff,First and Seasonal Difference
20,PNA_first_difference,tele_diff,First and Seasonal Difference
21,PNA_seasonal_difference,tele_diff,First and Seasonal Difference
22,PNA_seasonal_first_difference,tele_diff,First and Seasonal Difference
23,WP_first_difference,tele_diff,First and Seasonal Difference
24,WP_seasonal_difference,tele_diff,First and Seasonal Difference
25,WP_seasonal_first_difference,tele_diff,First and Seasonal Difference
26,BEST,lagged_tele,Lagged Teleconnections
27,EA,lagged_tele,Lagged Teleconnections
28,EA_t-1,lagged_tele,Lagged Teleconnections
29,EA_t-10,lagged_tele,Lagged Teleconnections
30,EA_t-11,lagged_tele,Lagged Teleconnections
31,EA_t-12,lagged_tele,Lagged Teleconnections
32,EA_t-2,lagged_tele,Lagged Teleconnections
33,EA_t-3,lagged_tele,Lagged Teleconnections
34,EA_t-4,lagged_tele,Lagged Teleconnections
35,EA_t-5,lagged_tele,Lagged Teleconnections
36,EA_t-6,lagged_tele,Lagged Teleconnections
37,EA_t-7,lagged_tele,Lagged Teleconnections
38,EA_t-8,lagged_tele,Lagged Teleconnections
39,EA_t-9,lagged_tele,Lagged Teleconnections
40,EPNP,lagged_tele,Lagged Teleconnections
41,EPNP_t-10_x,lagged_tele,Lagged Teleconnections
42,EPNP_t-10_y,lagged_tele,Lagged Teleconnections
43,EPNP_t-11_x,lagged_tele,Lagged Teleconnections
44,EPNP_t-11_y,lagged_tele,Lagged Teleconnections
45,EPNP_t-12_x,lagged_tele,Lagged Teleconnections
46,EPNP_t-12_y,lagged_tele,Lagged Teleconnections
47,EPNP_t-1_x,lagged_tele,Lagged Teleconnections
48,EPNP_t-1_y,lagged_tele,Lagged Teleconnections
49,EPNP_t-2_x,lagged_tele,Lagged Teleconnections
50,EPNP_t-2_y,lagged_tele,Lagged Teleconnections
51,EPNP_t-3_x,lagged_tele,Lagged Teleconnections
52,EPNP_t-3_y,lagged_tele,Lagged Teleconnections
53,EPNP_t-4_x,lagged_tele,Lagged Teleconnections
54,EPNP_t-4_y,lagged_tele,Lagged Teleconnections
55,EPNP_t-5_x,lagged_tele,Lagged Teleconnections
56,EPNP_t-5_y,lagged_tele,Lagged Teleconnections
