ds,AverageTemperature,BEST,NINA,ONI,EA_first_difference,EA_seasonal_difference,EA_seasonal_first_difference,EPNP_first_difference,EPNP_seasonal_difference,EPNP_seasonal_first_difference,NAO_first_difference,NAO_seasonal_difference,NAO_seasonal_first_difference,PNA_first_difference,PNA_seasonal_difference,PNA_seasonal_first_difference,WP_first_difference,WP_seasonal_difference,WP_seasonal_first_difference
1970-01-01,14.613,0.87,0.42,0.51,0.82,-0.31000000000000005,0.06999999999999995,0.16999999999999998,-0.37,-0.21000000000000002,-1.9099999999999997,-0.7799999999999998,-1.8199999999999998,-1.4100000000000001,3.08,-0.18999999999999995,-2.7399999999999998,-1.46,-1.39
1970-02-01,15.442,0.83,0.0,0.34,-1.0099999999999998,0.9700000000000002,1.2800000000000002,0.38,1.19,1.56,2.54,2.4800000000000004,3.2600000000000002,0.89,2.98,-0.10000000000000009,2.1799999999999997,-0.6,0.86
1970-03-01,18.522,0.2,-0.38,0.29,-3.02,-5.78,-6.75,0.010000000000000009,0.64,-0.5499999999999999,-1.69,0.6300000000000001,-1.8500000000000003,-0.52,0.020000000000000018,-2.96,-0.3,-0.8500000000000001,-0.2500000000000001
1970-04-01,21.862,0.46,-0.54,0.19,3.9899999999999998,-0.74,5.04,-1.07,-0.77,-1.4100000000000001,-0.15000000000000013,-3.08,-3.71,-1.15,-1.1400000000000001,-1.1600000000000001,1.16,-0.7100000000000001,0.14
1970-05-01,24.962,0.15,-0.98,0.04,-0.020000000000000018,-1.19,-0.44999999999999996,-0.11999999999999994,-1.5699999999999998,-0.7999999999999998,2.67,0.55,3.63,0.16000000000000003,-1.52,-0.3799999999999999,-1.02,-1.7999999999999998,-1.0899999999999999
1970-06-01,26.74,-0.51,-1.46,-0.3,0.56,-1.8000000000000003,-0.6100000000000003,-0.15000000000000002,-3.91,-2.3400000000000003,0.76,1.0100000000000002,0.4600000000000002,0.73,-1.88,-0.3599999999999999,0.01999999999999999,-1.5,0.2999999999999998
1970-07-01,28.263,-0.36,-1.93,-0.63,0.7899999999999999,-0.4600000000000002,1.34,-0.7,-0.29000000000000004,3.62,-1.7400000000000002,-0.47,-1.4800000000000002,0.51,0.22999999999999998,2.11,1.13,1.6099999999999999,3.11
1970-08-01,27.944000000000006,-0.81,-1.74,-0.76,1.25,2.61,3.0700000000000003,2.35,1.07,1.36,-0.13,1.99,2.46,-1.3399999999999999,0.08999999999999997,-0.14,0.010000000000000009,3.1900000000000004,1.5800000000000005
1970-09-01,26.093000000000004,-0.98,-1.27,-0.77,-2.52,0.56,-2.05,-1.2000000000000002,-0.36,-1.4300000000000002,0.06,-2.11,-4.1,0.20999999999999996,-1.7000000000000002,-1.79,-2.51,-1.75,-4.94
1970-10-01,21.941,-0.71,-1.27,-0.74,0.5800000000000001,-1.87,-2.43,-0.44999999999999996,-2.3899999999999997,-2.03,-0.55,-1.72,0.3899999999999999,-0.5599999999999999,-1.5,0.20000000000000018,2.9,1.0799999999999998,2.83
1970-11-01,18.709,-1.31,-1.48,-0.86,-0.81,1.92,3.79,0.6699999999999999,0.06,2.4499999999999997,-0.27,0.3799999999999999,2.0999999999999996,-0.19999999999999996,-1.2799999999999998,0.2200000000000002,-0.8999999999999999,0.86,-0.21999999999999986
