ds,AverageTemperature,BEST,NINA,ONI,EA,EPNP,NAO,PNA,WP
1971-06-01,18.324,-1.0,-1.58,-0.85,0.38,-0.27,-1.41,0.51,-2.17
1971-07-01,18.348000000000006,-0.67,-1.57,-0.73,-0.32,-0.72,-1.56,-1.74,0.01
1971-08-01,17.958000000000006,-0.42,-1.3,-0.74,0.66,-0.05,1.11,-0.81,-0.29
1971-09-01,16.708000000000002,-1.1,-1.04,-0.8,0.72,0.0,1.87,0.15,0.87
1971-10-01,12.578,-1.13,-1.12,-0.77,0.95,0.05,0.13,-1.35,-0.15
1971-11-01,1.774,-1.26,-1.24,-0.82,0.02,-1.99,0.0,-0.26,-0.13
1971-12-01,-2.293,-0.69,-1.12,-0.85,1.67,-0.22,0.06,-1.76,1.0
1972-01-01,-7.068,-0.47,-1.33,-0.96,-0.3,-1.95,-0.49,-2.46,1.01
1972-02-01,-8.807,-0.41,-1.04,-0.9,1.94,-1.14,-0.76,-2.27,-1.5
1972-03-01,-5.534,-0.47,-1.33,-0.71,-1.35,-0.28,-1.2,-0.1,1.4
1972-04-01,1.7730000000000006,-0.2,-1.31,-0.35,1.63,2.19,-1.82,-1.95,0.5
1972-05-01,13.181,0.44,-1.48,0.06,0.56,1.78,-0.17,0.21,0.57
1972-06-01,14.908,1.56,-0.73,0.41,-1.07,-0.39,-1.28,-0.15,-2.51
1972-07-01,19.08,1.23,-0.52,0.67,2.15,-0.49,-0.41,-1.13,-1.65
1972-08-01,18.057,1.7,-0.29,0.92,-0.57,-0.34,0.51,-0.04,-0.15
1972-09-01,14.952,1.47,0.0,1.13,0.03,-0.4,-1.28,0.13,-0.08
1972-10-01,5.867000000000001,1.6,0.21,1.37,0.91,-0.46,0.27,-1.49,0.76
1972-11-01,0.4580000000000002,1.59,0.61,1.58,-0.16,0.15,1.87,0.53,1.64
1972-12-01,-4.208,1.18,1.2,1.84,-1.63,-1.36,0.53,-0.86,0.77
1973-01-01,-5.5360000000000005,1.84,1.63,2.09,1.22,-1.52,1.14,-0.88,-0.87
1973-02-01,-8.881,1.06,1.43,2.12,0.47,0.31,-0.34,-0.14,-0.48
1973-03-01,2.5539999999999994,1.39,1.74,1.84,-0.07,-2.96,0.47,0.53,0.86
1973-04-01,5.9220000000000015,0.46,1.99,1.25,-0.21,2.2,-0.19,0.11,0.31
1973-05-01,10.357,0.17,2.25,0.54,1.06,1.76,-0.08,0.67,0.45
