ds,AverageTemperature,BEST,NINA,ONI,EA,EPNP,NAO,PNA,WP
1970-01-01,-11.263,0.87,0.42,0.51,-0.14,0.23,-2.26,0.12,-2.17
1970-02-01,-8.218,0.83,0.0,0.34,-1.15,0.61,0.28,1.01,0.01
1970-03-01,-4.6160000000000005,0.2,-0.38,0.29,-4.17,0.62,-1.41,0.49,-0.29
1970-04-01,5.646000000000001,0.46,-0.54,0.19,-0.18,-0.45,-1.56,-0.66,0.87
1970-05-01,12.383,0.15,-0.98,0.04,-0.2,-0.57,1.11,-0.5,-0.15
1970-06-01,16.974999999999998,-0.51,-1.46,-0.3,0.36,-0.72,1.87,0.23,-0.13
1970-07-01,20.092,-0.36,-1.93,-0.63,1.15,-1.42,0.13,0.74,1.0
1970-08-01,19.072,-0.81,-1.74,-0.76,2.4,0.93,0.0,-0.6,1.01
1970-09-01,15.046,-0.98,-1.27,-0.77,-0.12,-0.27,0.06,-0.39,-1.5
1970-10-01,9.744,-0.71,-1.27,-0.74,0.46,-0.72,-0.49,-0.95,1.4
1970-11-01,3.036,-1.31,-1.48,-0.86,-0.35,-0.05,-0.76,-1.15,0.5
1970-12-01,-6.192,-1.36,-1.32,-1.15,0.81,0.0,-1.2,-1.09,0.57
1971-01-01,-10.093,-0.83,-1.58,-1.36,-1.57,0.05,-1.82,-2.43,-2.51
1971-02-01,-6.2330000000000005,-1.5,-1.57,-1.38,0.38,-1.99,-0.17,-0.16,-1.65
1971-03-01,-4.918,-1.66,-1.3,-1.12,-0.32,-0.22,-1.28,-0.28,-0.15
1971-04-01,3.155,-1.69,-1.04,-0.85,0.66,-1.95,-0.41,0.23,-0.08
1971-05-01,11.157,-1.0,-1.12,-0.73,0.72,-1.14,0.51,1.09,0.76
1971-06-01,18.324,-0.67,-1.24,-0.74,0.95,-0.28,-1.28,0.51,1.64
1971-07-01,18.348000000000006,-0.42,-1.12,-0.8,0.02,2.19,0.27,-1.74,0.77
1971-08-01,17.958000000000006,-1.1,-1.33,-0.77,1.67,1.78,1.87,-0.81,-0.87
1971-09-01,16.708000000000002,-1.13,-1.04,-0.82,-0.3,-0.39,0.53,0.15,-0.48
1971-10-01,12.578,-1.26,-1.33,-0.85,1.94,-0.49,1.14,-1.35,0.86
1971-11-01,1.774,-0.69,-1.31,-0.96,-1.35,-0.34,-0.34,-0.26,0.31
1971-12-01,-2.293,-0.47,-1.48,-0.9,1.63,-0.4,0.47,-1.76,0.45
1972-01-01,-7.068,-0.41,-0.73,-0.71,0.56,-0.46,-0.19,-2.46,-0.05
1972-02-01,-8.807,-0.47,-0.52,-0.35,-1.07,0.15,-0.08,-2.27,-2.26
1972-03-01,-5.534,-0.2,-0.29,0.06,2.15,-1.36,0.35,-0.1,-1.87
1972-04-01,1.7730000000000006,0.44,0.0,0.41,-0.57,-1.52,-0.38,-1.95,-0.01
1972-05-01,13.181,1.56,0.21,0.67,0.03,0.31,0.93,0.21,1.23
1972-06-01,14.908,1.23,0.61,0.92,0.91,-2.96,1.19,-0.15,2.06
1972-07-01,19.08,1.7,1.2,1.13,-0.16,2.2,0.21,-1.13,-0.32
1972-08-01,18.057,1.47,1.63,1.37,-1.63,1.76,1.57,-0.04,1.09
1972-09-01,14.952,1.6,1.43,1.58,1.22,0.93,0.03,0.13,-1.61
1972-10-01,5.867000000000001,1.59,1.74,1.84,0.47,1.48,1.7,-1.49,0.51
1972-11-01,0.4580000000000002,1.18,1.99,2.09,-0.07,-0.32,0.43,0.53,0.19
1972-12-01,-4.208,1.84,2.25,2.12,-0.21,-0.56,0.09,-0.86,0.71
1973-01-01,-5.5360000000000005,1.06,1.78,1.84,1.06,-0.8,-0.46,-0.88,0.47
1973-02-01,-8.881,1.39,0.79,1.25,-0.89,0.95,0.52,-0.14,1.12
1973-03-01,2.5539999999999994,0.46,0.09,0.54,-0.35,-1.94,-0.09,0.53,0.56
1973-04-01,5.9220000000000015,0.17,-0.83,-0.1,-0.32,0.6,-0.73,0.11,1.33
1973-05-01,10.357,-0.45,-1.32,-0.54,-0.71,-1.49,-0.36,0.67,0.71
1973-06-01,18.417,-1.07,-1.41,-0.87,0.0,-1.3,0.7,1.01,-1.34
1973-07-01,20.275,-1.05,-1.66,-1.11,1.35,-1.27,0.6,-0.26,0.42
1973-08-01,20.922,-1.4,-1.62,-1.28,1.67,-0.1,-0.2,-0.95,0.06
1973-09-01,14.913,-1.46,-1.52,-1.45,2.91,0.68,-0.15,-0.27,0.06
1973-10-01,10.604000000000001,-1.33,-1.69,-1.71,1.34,-0.62,-0.84,-0.74,0.9
1973-11-01,2.313,-2.46,-1.82,-1.95,-0.34,-0.27,-1.11,-1.66,0.29
1973-12-01,-5.088,-1.89,-1.85,-2.03,-0.34,-0.46,0.21,0.23,0.43
1974-01-01,-6.204,-1.96,-1.8,-1.84,0.47,-0.65,1.05,-1.54,-3.37
1974-02-01,-9.518,-1.66,-1.34,-1.55,-1.65,-1.12,-0.6,-1.5,-0.78
1974-03-01,-2.596,-1.82,-0.96,-1.23,-0.86,0.32,-0.43,-1.1,-1.26
1974-04-01,6.195,-1.23,-0.81,-1.03,1.3,-0.41,0.41,-0.73,-0.19
1974-05-01,9.627,-1.18,-0.89,-0.91,0.72,0.03,-0.17,-0.4,0.36
1974-06-01,16.663999999999998,-0.58,-0.84,-0.77,1.81,-2.29,0.17,-1.36,-0.13
1974-07-01,19.289,-0.93,-0.59,-0.53,0.33,-1.52,-0.73,-0.09,0.81
1974-08-01,19.09,-0.47,-0.4,-0.37,0.94,2.42,-0.95,0.9,0.24
1974-09-01,12.96,-0.7,-0.63,-0.41,-0.55,2.56,0.95,0.35,-0.4
1974-10-01,6.7970000000000015,-0.78,-1.03,-0.61,-1.46,0.18,1.04,0.93,-0.22
1974-11-01,2.4370000000000003,-0.26,-1.11,-0.75,-0.27,-1.75,-0.7,0.53,0.42
1974-12-01,-2.6010000000000004,-0.43,-1.04,-0.64,0.48,-1.635,1.3,0.38,-0.89
1975-01-01,-5.279,0.11,-0.54,-0.54,-0.22,-1.52,0.17,-1.2,-0.46
1975-02-01,-5.5070000000000014,-0.43,-0.85,-0.57,1.35,-0.5,-1.15,-0.51,-0.77
1975-03-01,-4.0600000000000005,-0.84,-0.87,-0.65,0.85,-0.14,-1.04,-0.81,-0.46
1975-04-01,1.1080000000000003,-0.95,-0.57,-0.73,-1.69,-1.57,-1.89,-0.67,0.37
1975-05-01,15.265,-0.96,-1.09,-0.83,-0.51,-1.21,-0.43,0.6,-0.45
1975-06-01,18.091,-1.58,-1.4,-0.98,0.97,-2.09,-0.54,-0.31,-0.61
1975-07-01,20.374000000000002,-1.83,-1.19,-1.13,0.45,0.6,1.57,-1.53,1.59
1975-08-01,18.963,-1.76,-1.08,-1.2,2.24,0.99,-0.46,-1.1,0.32
1975-09-01,12.640999999999998,-1.9,-1.41,-1.37,-0.71,0.81,1.67,-0.23,0.22
1975-10-01,9.52,-1.66,-1.61,-1.43,1.63,-0.56,-0.08,-0.65,0.0
1975-11-01,5.862,-1.36,-1.44,-1.55,0.32,-1.14,0.3,-0.63,1.04
1975-12-01,-5.98,-1.74,-1.81,-1.65,0.92,-0.72,-0.09,-0.16,-1.01
1976-01-01,-10.632,-1.42,-1.9,-1.56,0.61,-0.3,-0.8,-0.25,-0.71
1976-02-01,-4.0889999999999995,-1.24,-1.1,-1.17,0.86,0.07,0.61,-2.38,-0.39
1976-03-01,-0.6809999999999999,-0.97,-0.67,-0.73,-1.58,-0.83,0.38,-1.78,-0.06
1976-04-01,6.681,-0.35,-0.66,-0.47,-0.68,-1.52,0.14,0.92,0.92
1976-05-01,10.34,-0.57,-0.34,-0.28,-0.31,-0.9,0.94,0.58,1.19
1976-06-01,18.66,0.14,0.33,-0.05,2.24,-0.03,1.11,-1.32,1.28
1976-07-01,18.538,0.86,0.43,0.18,1.97,-1.21,-0.29,-0.12,2.35
1976-08-01,17.987000000000005,0.89,0.76,0.35,-1.0,0.23,2.34,-0.62,1.22
1976-09-01,13.736,1.08,0.82,0.62,1.69,1.82,-1.11,-0.04,0.1
1976-10-01,5.484,0.45,0.91,0.81,0.96,1.53,0.42,0.91,-0.66
1976-11-01,-1.2799999999999998,0.11,0.78,0.86,-0.48,2.19,0.04,1.72,0.23
1976-12-01,-9.08,0.6,0.66,0.85,-1.78,1.47,-1.57,0.21,-1.11
1977-01-01,-12.886,0.65,0.88,0.71,-0.49,0.75,-1.72,1.6,-1.08
1977-02-01,-7.897,-0.01,0.56,0.64,-1.73,-1.4,-1.0,2.43,0.08
1977-03-01,0.9299999999999996,0.78,0.22,0.34,0.45,-1.44,-1.25,-0.69,1.83
1977-04-01,6.8050000000000015,0.33,-0.64,0.23,-1.01,0.25,0.56,-0.32,0.97
1977-05-01,14.258,0.72,-0.38,0.21,-1.21,-1.84,-0.75,-0.56,-0.43
1977-06-01,15.775,1.2,-0.19,0.34,0.3,-0.24,-0.27,0.57,0.17
1977-07-01,20.116,1.23,-0.23,0.35,-0.01,0.03,-0.42,-1.04,0.96
